"reticulations","network"
3,"((Lacerta_agilis:0.00193264498751266,Zootoca_vivipara:2.3074924879782435):4.269564976908159,((((Podarcis_pityusensis:1.631457283401867,Podarcis_tiliguerta:2.0300584311136145):0.2903264805252335)#H1:0.4091449162704225::0.8535280590650686,(((Podarcis_melisellensis:0.8135332446141295,Podarcis_gaigeae:5.633436360397209):0.9244593308410306,(Podarcis_cretensis:1.771797583638203,Podarcis_erhardii:1.429543733056696):1.7120776068649468):0.8499122750565896,((Podarcis_raffonei:0.027823227810105156)#H2:1.5229591495509567::0.896154315375612,Podarcis_filfolensis:1.674344822548305):0.7031205677201613):0.23298808224181353):0.3676029849229634,(Podarcis_siculus:2.697839632502279,(((#H1:1.1177020064948993::0.14647194093493143,((Podarcis_vaucheri:0.3002125390016156,Podarcis_bocagei:0.07989827655925943):0.52732642230512,Podarcis_liolepis:0.16875447884562397):0.4758732614583655):1.7841966629929247)#H3:4.206664129369162::0.604295660582358,(Podarcis_muralis:0.9125076948197688,(#H2:0.12095425845350166::0.10384568462438803,#H3:0.15943103862077695::0.39570433941764205):8.887199382968507):8.186981714171926):0.49121793644281886):0.10437875367590792):4.241519284693328);"
3,"((Zootoca_vivipara:2.6114283846001314,Lacerta_agilis:0.05212391765086044):3.962639322498932,((Podarcis_siculus:0.6882845116962091,(Podarcis_muralis:3.736526082101748,((Podarcis_bocagei:6.8719958306430335,(Podarcis_liolepis:0.5447640723388691,Podarcis_vaucheri:0.49347490681262185):0.003455465802488008):2.2560844512686127)#H1:0.8964978468358569::0.6875969351904527):6.968428517605906):0.11719305088621239,((((Podarcis_melisellensis:5.584435461242961,Podarcis_gaigeae:0.923948772963175):1.352487878703981,(Podarcis_cretensis:3.256048090841027,Podarcis_erhardii:2.436613746117054):2.354109301586201):0.8128573613857211,(((Podarcis_tiliguerta:1.8696501912844168,Podarcis_pityusensis:2.861481333959037):0.0767992610220407)#H2:0.9593269627422195::0.37696867146988516,(Podarcis_raffonei:4.573928459430315,Podarcis_filfolensis:2.6226872592304957):0.7256433366459513):0.1022196537208282):0.42524832738496576,(#H1:2.7638401993807795::0.3124030648095473,#H2:2.620892989957613::0.6230313285301148):1.8353406760535946):0.1450022866324545):4.362513656058856);"
2,"((Zootoca_vivipara:2.233686398781024,Lacerta_agilis:1.7553023134118857):4.365609216232028,((((Podarcis_tiliguerta:0.1381093312720556,Podarcis_pityusensis:6.367019215157013):0.08372291284112576)#H1:0.8459150434128333::0.3951967038387981,(((Podarcis_raffonei:2.321576568600902,Podarcis_filfolensis:1.0450228774288357):0.7182377406706989,((Podarcis_melisellensis:0.05425892243340025,Podarcis_gaigeae:2.4943917631263393):1.1131940163489118,(Podarcis_erhardii:1.0276738820227778,Podarcis_cretensis:4.834727945629648):1.684288467170705):0.784022284205085):0.19384564308587063,(#H1:0.6974748853439328::0.6048032961612019)#H2:3.2122222776118647::0.8031983602280399):0.00902085939336833):0.33002890736734936,(Podarcis_siculus:3.3319495315733096,(Podarcis_muralis:7.267141906180202,(((Podarcis_vaucheri:0.4019538833207831,Podarcis_bocagei:6.027771403353118):0.28493415009563344,Podarcis_liolepis:3.640462678038233):0.782530030883949,#H2:3.099827255089053::0.19680163977196008):1.81038784233787):1.1479534880863025):0.06885814500589219):4.812044946896699);"
3,"((Lacerta_agilis:0.6106555640744502,Zootoca_vivipara:1.978937588727256):5.855583597136542,((((Podarcis_pityusensis:1.6742165702899046,Podarcis_tiliguerta:1.4796636412735702):0.2197341338522052)#H1:1.061979284178133::0.8029168046575952,(((Podarcis_erhardii:0.07100110770950752,Podarcis_cretensis:1.4824741401891006):1.763461688534998,((Podarcis_gaigeae:0.14957515733655116)#H2:1.0::0.4306261334942766,(Podarcis_melisellensis:1.501737034300648,#H2:0.024859861013686733::0.5693738665057234):0.02116366495198041):1.610977430865571):0.8698181566402653,((Podarcis_raffonei:2.749571239914264)#H3:0.5611153437706436::0.9033949342892891,Podarcis_filfolensis:4.143215014619329):0.8478658005020338):0.1970686038312372):0.4287120818911609,(Podarcis_siculus:3.827868744052111,(Podarcis_muralis:5.3351579597398455,((Podarcis_liolepis:8.517318458747052,(Podarcis_bocagei:1.0017991216658204,Podarcis_vaucheri:0.2026292969234613):0.4056412805843332):1.4335335302044578,(#H1:2.262282175543147::0.19708319534240484,#H3:0.8148447603431631::0.09660506571071092):0.9105105532577729):0.7658423376262355):1.129405046971463):0.08212196875186162):4.519000276305466);"
