dataset,reticulations,rank,log_probability,network
lac,2,1,-13974999.296765743,"((Zootoca_vivipara:1.2250059800619755,Lacerta_agilis:5.067656785258551):4.3965332000292205,((Podarcis_siculus:2.622581929707957,((Podarcis_tiliguerta:4.128594317669382,(Podarcis_pityusensis:0.725973508023201,((Podarcis_liolepis:1.1195734188694262,(Podarcis_vaucheri:3.0260362813022867,Podarcis_bocagei:0.005097083077699641):0.06891110519576946):2.343591650856248)#H1:7.417955350345512::0.2265275624924873):0.6356687105357988):0.6693560735867699,(((Podarcis_melisellensis:5.286843153044394,Podarcis_gaigeae:0.653796638447482):1.1974342428406364,(Podarcis_cretensis:11.072435827623806,Podarcis_erhardii:0.5295898932256962):1.815665014321279):0.855991493144154,(Podarcis_filfolensis:3.1876555170932477,(Podarcis_raffonei:0.01240443930922844)#H2:0.011236856223947113::0.9144817693256188):1.2169487639402954):0.24102993842423315):0.3073539037271226):0.02089819373671134,(#H1:0.1598534268794547::0.7734724375075127,(Podarcis_muralis:1.8060633737869995,#H2:3.127492551716769::0.08551823067438129):2.8727131395796395):2.1957493966076003):4.148890185480662);"
lac,2,2,-13978003.880035415,"((Zootoca_vivipara:2.2748462043510873,Lacerta_agilis:1.9417315239992456):2.962304017441383,(((((Podarcis_gaigeae:0.6141786507034834,Podarcis_melisellensis:19.326811881809427):1.5178629977046878,(Podarcis_erhardii:0.5744526317043275,Podarcis_cretensis:2.573926894125652):2.0091981703643023):0.8319623089055974,(Podarcis_filfolensis:2.0353539176332855,Podarcis_raffonei:4.865755309099141):0.7737246549024104):0.2822933112336816,(Podarcis_tiliguerta:6.691611562643049,((((Podarcis_bocagei:5.781696632264232,Podarcis_vaucheri:0.02625260246778663):0.25095884238296046,Podarcis_liolepis:6.171299955514844):2.206958728657056)#H1:3.4111610032859083::0.16632776250293807,Podarcis_pityusensis:2.1416893868972235):1.8351753450049437):0.6458241460947329):0.23405456791050813,(Podarcis_siculus:1.4121720683988617,(Podarcis_muralis:2.0834711874286147,#H1:1.3420041026755738::0.833672237497062):1.6843933565821634):0.07372995039279841):4.494024766881424);"
lac,2,3,-13980732.420923416,"((Lacerta_agilis:0.2091725384747496,Zootoca_vivipara:1.0770512518364592):3.5108204228747955,((((Podarcis_filfolensis:0.30466522841498755,Podarcis_raffonei:4.027899945868952):0.8620825148701304,((Podarcis_gaigeae:5.165964028271272,Podarcis_melisellensis:8.137864663023713):1.3016415024363774,(Podarcis_cretensis:1.283783829159816,Podarcis_erhardii:2.8180968044266006):1.2348189294503018):0.9518473255555198):0.27493524780469647,(Podarcis_tiliguerta:2.5366362660877337,(((Podarcis_bocagei:0.2477445181389908,(Podarcis_liolepis:1.2496238716223496,Podarcis_vaucheri:0.37996937699303646):0.05509497906316448):2.0827369238704443)#H1:3.910966977543002::0.1729879519130245,Podarcis_pityusensis:1.4302396549298035):1.2080977567867281):0.6753201786121095):0.2770940167018078,(Podarcis_siculus:2.2508968423245914,(Podarcis_muralis:2.639792829823561,#H1:3.629259363957434::0.8270120480869755):1.6931406337141184):0.0946735714397303):4.4986599019021);"
lac,2,4,-13981387.776847793,"((Zootoca_vivipara:1.7172119859517574,Lacerta_agilis:0.574813594021663):4.304412674172016,((Podarcis_siculus:1.527057739605914,(((Podarcis_tiliguerta:2.6399178723780707,Podarcis_pityusensis:1.5902657107408418):0.5366641692002139)#H1:0.05567440315642723::0.8639913963637665,((((Podarcis_gaigeae:2.1087580575442195,Podarcis_melisellensis:3.427718307984218):1.4422114463511524,(Podarcis_cretensis:0.8730906601768746,Podarcis_erhardii:4.663720756562901):2.230322033365348):0.5259698524771963)#H2:3.3388750345232205::0.35441548064905604,(#H2:0.6186372765673865::0.645584519350944,(Podarcis_filfolensis:0.7733953995829341,Podarcis_raffonei:4.606416082805475):0.6141081993890872):0.2070789283280668):0.08124046359252333):0.3238922739523625):0.005553535999423979,(Podarcis_muralis:1.8173257909561271,((Podarcis_liolepis:0.8925851797149673,(Podarcis_bocagei:3.1292934395230603,Podarcis_vaucheri:6.610195853537757):0.4599192256007846):0.7613039322705032,#H1:2.4179574965407875::0.13600860363623343):1.3855737526563032):1.1909046510630714):4.52471440898026);"
lac,2,5,-13983697.320312606,"((Zootoca_vivipara:2.828602886209488,Lacerta_agilis:0.045610219923457956):3.5160113430311277,((Podarcis_siculus:5.57278613287426,(Podarcis_muralis:1.4389365766625577,(((Podarcis_bocagei:2.6256954662360674,Podarcis_vaucheri:3.7902887518947947):0.45798113050236267,Podarcis_liolepis:3.143827305815873):1.6021751759970357,((Podarcis_tiliguerta:2.3941441533156773,Podarcis_pityusensis:2.9327197770979563):0.32561168496833826)#H1:3.0457577646690197::0.2162693696982274):0.49561583203390336):1.135895166836204):0.03894009980730498,(#H1:0.4327356270736272::0.7837306303017726,((Podarcis_raffonei:3.301516293592453,Podarcis_filfolensis:1.6273351848868765):0.7137079436865987,((Podarcis_melisellensis:1.437350895195428,Podarcis_gaigeae:2.0790841519307657):1.2992018228565012,(Podarcis_erhardii:0.31440515701623106,Podarcis_cretensis:3.1932980934794672):1.8690439140219244):0.9500733903797616):0.1325300963988203):0.362376656641759):4.608336991019398);"
lac,2,6,-13985091.294192534,"((Lacerta_agilis:0.19970074448679342,Zootoca_vivipara:1.2287371032092826):3.3538790405203454,((Podarcis_siculus:3.216844551485072,(((Podarcis_raffonei:12.013875564919049,Podarcis_filfolensis:6.493105869911691):0.6225253435426534,((Podarcis_melisellensis:10.06027251166374,Podarcis_gaigeae:2.91655445019404):1.2541589428447795,(Podarcis_erhardii:1.6506792874157585,Podarcis_cretensis:1.0108797280775916):1.7921943518361467):0.848639596950847):0.2438113473799134,(Podarcis_tiliguerta:2.2992189148447237,((Podarcis_pityusensis:0.9681470224015178)#H1:1.0::0.5,(((Podarcis_liolepis:0.2496209869805031,(Podarcis_bocagei:0.005567590417710218,Podarcis_vaucheri:2.0315753050126264):0.45894250019177163):2.251419686605889)#H2:1.7234059143271132::0.22274027747320224,#H1:1.6031391433649993::0.5):1.6430164025344494):0.24211054690248351):0.670856306436504):0.27161357074126696):0.0026200986259726673,(#H2:3.3117786479965323::0.7772597225267978,Podarcis_muralis:4.075073726469256):2.596069941430648):4.459282774456735);"
lac,2,7,-13986578.310642196,"((Lacerta_agilis:1.035093561266422,Zootoca_vivipara:1.8377229610057353):3.830293963179581,((((Podarcis_filfolensis:1.3571787411620755,Podarcis_raffonei:1.923116403123018):0.7522507701044118,((Podarcis_erhardii:0.13770866558936418,Podarcis_cretensis:1.1884131186884734):1.2151919641859614,(Podarcis_gaigeae:5.827485571192131,Podarcis_melisellensis:1.2407961020337472):1.2687513583278922):0.8330641255993939):0.27355963420134166,((Podarcis_pityusensis:0.6951484920032112,Podarcis_tiliguerta:1.3689513886356575):0.47179841781606036)#H1:0.11853497544562211::0.8550183339797406):0.3243924117251998,(Podarcis_siculus:1.526141134436247,(Podarcis_muralis:1.4768817350469328,(#H1:3.7027190158218284::0.14498166602025941,(Podarcis_vaucheri:3.7945406348140986,(Podarcis_liolepis:0.09685154004555122,Podarcis_bocagei:4.6994374901784095):0.03367103461082619):1.3105741308848506):1.274242778281344):1.1669604548714203):0.08470104225372141):4.341186874499286);"
lac,2,8,-13986900.147037057,"((Lacerta_agilis:5.067656785258551,Zootoca_vivipara:1.2250059800619755):4.407790474511266,((Podarcis_muralis:1.8060633737869995,(((Podarcis_liolepis:1.1195734188694262,(Podarcis_bocagei:0.005097083077699641,Podarcis_vaucheri:3.0260362813022867):0.11458350446898014):2.343591650856248)#H1:0.1598534268794547::0.7573373898974001,(Podarcis_raffonei:0.01240443930922844)#H2:1.0::0.0999731125016351):2.0347577609597183):5.097120191409133,(Podarcis_siculus:2.622581929707957,((Podarcis_tiliguerta:4.128594317669382,(Podarcis_pityusensis:0.725973508023201,#H1:7.418050373878579::0.24266261010259993):0.6356687105357988):0.6693560735867699,(((Podarcis_gaigeae:0.653796638447482,Podarcis_melisellensis:5.286843153044394):1.1974342428406364,(Podarcis_cretensis:11.072435827623806,Podarcis_erhardii:0.5295898932256962):1.7334184717930108):0.785489977597348,(Podarcis_filfolensis:3.1876555170932477,#H2:0.011236856223947113::0.9000268874983649):1.2126883415560035):0.25111404625090844):0.3073539037271226):0.02089819373671134):4.143818593489964);"
lac,2,9,-13988060.23216457,"((Lacerta_agilis:1.035093561266422,Zootoca_vivipara:1.8377229610057353):3.9554439227298976,((Podarcis_muralis:1.4768817350469328,(((Podarcis_pityusensis:0.6951484920032112,Podarcis_tiliguerta:1.3689513886356575):0.6141996513387069)#H1:3.6957515831751637::0.17483178859806847,(Podarcis_liolepis:0.09534368504377645,(Podarcis_vaucheri:3.7945406348140986,Podarcis_bocagei:4.597428579332838):0.12028471487565945):1.6104445007189803):1.0888417130455013):1.1606658084432286,(Podarcis_siculus:2.070475454639098,(((Podarcis_raffonei:1.923116403123018,Podarcis_filfolensis:1.3571787411620755):0.8902880266588151,((Podarcis_gaigeae:5.827485571192131,Podarcis_melisellensis:1.2407961020337472):1.3556495737874756,(Podarcis_erhardii:0.13770866558936418,Podarcis_cretensis:1.1884131186884734):1.8086543375310478):0.7328520880599105):0.2254417256965722,#H1:0.046127533181557615::0.8251682114019315):0.32477849603847403):0.00994623455555741):4.303440787590646);"
lac,2,10,-13989302.537404008,"((Lacerta_agilis:0.574813594021663,Zootoca_vivipara:1.7172119859517574):3.98138425846186,((Podarcis_siculus:1.527057739605914,(Podarcis_muralis:1.8173257909561271,(Podarcis_bocagei:1.7804820348965769,(Podarcis_liolepis:1.3775994731022003,(Podarcis_vaucheri:4.502752555785696,((Podarcis_pityusensis:1.5902657107408418,Podarcis_tiliguerta:2.6399178723780707):0.2141362434115719)#H1:1.8553232481140143::0.12794493542880092):0.23844308327471345):0.025303435022531927):2.134492376479529):1.1040604427194736):0.06155735006958009,(((Podarcis_filfolensis:1.1221990772668375,Podarcis_raffonei:3.7638891856577503):0.8362343001557616,((Podarcis_erhardii:1.5669527915723962,Podarcis_cretensis:0.9237654698340565):2.1012333696369034,(Podarcis_melisellensis:2.1532390387783575,Podarcis_gaigeae:2.866479855105458):1.3432680593492814):0.7839976184032237):0.24178096757427922,#H1:0.8011482561236902::0.8720550645711991):0.30524081396460157):4.36680658634161);"
