index,species,search_r,network_rank,num_reticulations,log_pseudo_likelihood,starting_network,newick
11,Lacerta,2,1,1,-13983067.135239437,,"((Lacerta_agilis:1.535939864219761,Zootoca_vivipara:0.26372535287721954):3.4131428293141477,((Podarcis_siculus:1.8895517782112248,(Podarcis_muralis:2.2502448294183495,(((Podarcis_bocagei:3.2253960129370443,Podarcis_vaucheri:5.512551320646715):0.5095473161913494,Podarcis_liolepis:1.0711124787036812):2.027435729317106)#H1:2.20076725605135::0.7583279679384343):2.482476956449741):0.13144891167723108,(((Podarcis_filfolensis:0.07667346783655621,Podarcis_raffonei:2.3247737522527956):0.6007234966348381,((Podarcis_gaigeae:0.8076554113525636,Podarcis_melisellensis:4.6178086941461505):1.637814342133884,(Podarcis_cretensis:2.209835065011738,Podarcis_erhardii:0.5186058472786923):2.343239323168679):0.7651469435226954):0.28196570602959103,((Podarcis_tiliguerta:0.8474274957377277,Podarcis_pityusensis:1.0177523202008694):0.05687096931040055,#H1:1.7144527562856686::0.24167203206156573):0.7216653965844674):0.317306220461841):4.340292544131527);"
12,Lacerta,2,2,1,-13985634.978979727,,"((Lacerta_agilis:1.2539513321598035,Zootoca_vivipara:0.3067366107889631):3.0961155131643823,(((((Podarcis_cretensis:2.2098350650117387,Podarcis_erhardii:0.5186058472786923):1.7371603697644158,(Podarcis_gaigeae:4.079732929950799,Podarcis_melisellensis:1.3457311755479155):1.6326864904137497):0.6790737686231285,(Podarcis_raffonei:2.3247737522527956,Podarcis_filfolensis:0.07667346783655621):0.7635995616593391):0.20595675034542862,((Podarcis_pityusensis:0.06260909532961949,Podarcis_tiliguerta:1.4771993795380354):0.25211229553233194)#H1:0.5141554105018257::0.8228689595194161):0.37077005049943706,(Podarcis_siculus:1.8895517782112248,(Podarcis_muralis:2.2502448294183495,((Podarcis_bocagei:3.2253960129370443,(Podarcis_vaucheri:7.169272771676857,Podarcis_liolepis:1.026997547195967):0.024084970386440085):1.3630837429363778,#H1:0.40436115026248093::0.17713104048058392):0.9191379624644653):1.1814567436681773):0.08522422993060938):4.478786391273195);"
13,Lacerta,2,3,2,-13990264.640328506,,"((Lacerta_agilis:1.5756556883900075,Zootoca_vivipara:2.3070897065205136):3.648463089194725,((Podarcis_muralis:4.874177735623526,((Podarcis_vaucheri:12.480771538685753,Podarcis_bocagei:1.5873202929926475):0.5590876022506416,(((Podarcis_pityusensis:1.382078811876815,(Podarcis_tiliguerta:4.08362472750171)#H2:0.40803403940126326::0.6369871594089151):0.8246988703763632)#H1:0.15868268675678093::0.16134719577323903,Podarcis_liolepis:0.7754089495847302):0.1378573964273084):2.2433109248202987):1.1198726774002066,(Podarcis_siculus:2.6982933192255523,(#H2:1.0::0.3630128405910848,(((Podarcis_filfolensis:2.334413062089877,Podarcis_raffonei:1.5301323950506633):0.6271588868329729,((Podarcis_melisellensis:0.4676455682182955,Podarcis_gaigeae:1.3957500689100772):1.4154531213298023,(Podarcis_cretensis:0.17637213594443585,Podarcis_erhardii:0.6562726631444333):1.5685354432008747):0.9388923330408393):0.17412923413430598,#H1:0.5864440978068169::0.8386528042267609):0.04141829621179802):0.28010982419106867):0.022171565055973202):4.489205136710634);"
14,Lacerta,2,4,1,-13991256.613013688,,"((Lacerta_agilis:1.2874147896857138,Zootoca_vivipara:1.695320374376677):4.344956623205051,((Podarcis_siculus:3.3084105084295965,((Podarcis_muralis:4.095037328722734,(Podarcis_liolepis:2.1808612686726883,(Podarcis_bocagei:0.2826055584546955,Podarcis_vaucheri:1.5356017649902456):0.4817926437997877):2.2655761277636426):0.28828913737723166,((Podarcis_pityusensis:0.4940698241733613,Podarcis_tiliguerta:6.998736576986204):0.5074645100315422)#H1:0.40520455510086045::0.2501389961993511):0.7560547245274292):0.09148608111737393,(#H1:0.3795089934958583::0.7498610038006489,((Podarcis_filfolensis:3.044595155840219,Podarcis_raffonei:3.8572238856090824):0.6903569303434902,((Podarcis_erhardii:2.85535245198496,Podarcis_cretensis:4.100949351064234):1.940496675221295,(Podarcis_gaigeae:1.8631164161428924,Podarcis_melisellensis:0.02823099627993153):1.4549192637631458):0.8589749125650935):0.1606179613957604):0.3531382872199187):4.551477556079679);"
15,Lacerta,2,5,1,-13993543.14874258,,"((Lacerta_agilis:1.5756556883900075,Zootoca_vivipara:2.3070897065205136):4.420678981042063,((Podarcis_muralis:4.874177735623526,(((Podarcis_bocagei:0.16928800734645663,Podarcis_vaucheri:11.021779275244045):0.1810274221870481,Podarcis_liolepis:1.4974143606074455):1.1447555065675323,((Podarcis_tiliguerta:4.491658766902973,Podarcis_pityusensis:1.382078811876815):0.1888614166574799)#H1:2.2010961771931368::0.1716368830357794):0.9776315075455713):1.1180332314509416,(Podarcis_siculus:2.6982933192255523,(#H1:0.6571743812133692::0.8283631169642206,((Podarcis_raffonei:1.5301323950506633,Podarcis_filfolensis:2.334413062089877):0.7594556828091595,((Podarcis_cretensis:0.17637213594443585,Podarcis_erhardii:0.6562726631444333):2.7271116195754197,(Podarcis_melisellensis:0.4676455682182955,Podarcis_gaigeae:1.3957500689100772):1.4463687188626904):0.7494517718133856):0.20835531565461074):0.3243206217432416):0.01471523854973042):4.379554508906653);"
16,Lacerta,2,6,2,-13995998.76306363,,"((Zootoca_vivipara:0.3067366107889631,Lacerta_agilis:1.2539513321598035):3.8947306649732067,((((Podarcis_raffonei:2.3247737522527956,Podarcis_filfolensis:0.07667346783655621):0.6294067980155369,((Podarcis_cretensis:2.209835065011738,Podarcis_erhardii:0.5186058472786923):1.4564905400776462,((Podarcis_gaigeae:0.2738390707082754)#H1:0.5788392372464841::0.7495440534915319,(Podarcis_melisellensis:4.6178086941461505,#H1:0.5338163406442882::0.25045594650846814):1.3361048469871861):0.6683556348442392):0.8775029505758772):0.2759479494148067,(Podarcis_tiliguerta:1.4618765010896293,(Podarcis_pityusensis:0.05711324449618128,((Podarcis_liolepis:1.0711124787036812,(Podarcis_vaucheri:5.512551320646716,Podarcis_bocagei:3.2253960129370443):0.3206024572669811):2.2374811328715865)#H2:1.288628006566245::0.19622670103529471):0.2733414356853151):0.7700691641291864):0.26914183491910937,(Podarcis_siculus:1.8895517782112248,(#H2:1.9270660382705949::0.8037732989647053,Podarcis_muralis:2.2502448294183495):1.6248595191080306):0.13142912190785153):5.223506723227385);"
17,Lacerta,2,7,1,-13996124.067136262,,"((Lacerta_agilis:1.2539513321598035,Zootoca_vivipara:0.3067366107889631):3.7452724561044026,((Podarcis_siculus:1.8895517782112248,(Podarcis_muralis:2.2502448294183495,(Podarcis_liolepis:1.30086139838789,(Podarcis_vaucheri:5.469960134238983,(Podarcis_bocagei:3.162557913752194,((Podarcis_pityusensis:0.06260909532961949,Podarcis_tiliguerta:1.4771993795380354):0.5125192488535623)#H1:1.182467840612511::0.13016745409888497):0.180665574623332):0.9552400282482353):2.341642577140467):1.1822128960973322):0.0839510092649323,(#H1:0.2520942826472395::0.869832545901115,((Podarcis_filfolensis:0.4062475588916,Podarcis_raffonei:2.2333247033781536):0.6614142641248114,((Podarcis_melisellensis:0.6412471305065925,Podarcis_gaigeae:3.527697407090823):1.429611278763156,(Podarcis_erhardii:0.7906067015910265,Podarcis_cretensis:1.9378342106994042):1.673930134088601):0.8151026385413558):0.24359136445078436):0.33259199249834515):4.288030757049066);"
18,Lacerta,2,8,1,-13999005.254596263,,"((Zootoca_vivipara:0.26372535287721954,Lacerta_agilis:1.535939864219761):3.763442927870798,((Podarcis_siculus:1.8895517782112248,(Podarcis_muralis:2.2502448294183495,((Podarcis_liolepis:1.0711124787036812,(Podarcis_vaucheri:5.512551320646716,Podarcis_bocagei:3.2253960129370443):0.5205891580703519):2.4797202667974534)#H1:1.8186205012573118::0.7748615743192008):1.6715761512283673):0.06094579571464878,((((Podarcis_gaigeae:0.8076554113525636,Podarcis_melisellensis:4.6178086941461505):1.8268991579239917,(Podarcis_erhardii:0.5186058472786923,Podarcis_cretensis:2.209835065011738):1.4706805006736778):0.795139169113158,(Podarcis_raffonei:2.3247737522527956,Podarcis_filfolensis:0.07667346783655621):0.758699899378377):0.28049968801511854,(Podarcis_tiliguerta:1.4618765010896293,(#H1:1.2498381704609671::0.22513842568079925,Podarcis_pityusensis:0.05711324449618128):0.454856587757078):0.6430036413228175):0.27050581091655435):5.253539371020813);"
19,Lacerta,2,9,1,-13999568.144290501,,"((Zootoca_vivipara:2.3070897065205136,Lacerta_agilis:1.551109363218044):3.2262089555648013,((Podarcis_siculus:2.679541785522138,(Podarcis_muralis:4.874177735623526,(((Podarcis_tiliguerta:4.491658766902973,Podarcis_pityusensis:1.382078811876815):0.01847767684771809)#H1:6.923725698596684::0.19200421381392355,(Podarcis_vaucheri:12.90083228082866,(Podarcis_liolepis:0.3995009663165672,Podarcis_bocagei:2.8401038693449863):0.020299969116712856):1.2659493806770192):0.8519020753761996):1.3007053023695256):0.08147862531058822,(((Podarcis_raffonei:1.5301323950506633,Podarcis_filfolensis:2.334413062089877):0.5928453568785027,((Podarcis_erhardii:0.6562726631444333,Podarcis_cretensis:0.17637213594443585):1.9257078041801294,(Podarcis_melisellensis:0.4676455682182955,Podarcis_gaigeae:1.3957500689100772):2.1724639401422987):0.8042478889419519):0.1493719315665109,#H1:1.650678708264036::0.8079957861860765):0.4004838247988239):4.343484351628118);"
20,Lacerta,2,10,2,-14001174.127011662,,"(((((Podarcis_filfolensis:0.07667346783655621,Podarcis_raffonei:2.3247737522527956):0.5671082692069325,((Podarcis_erhardii:0.5186058472786923,Podarcis_cretensis:2.209835065011738):1.4770812545343657,(Podarcis_melisellensis:4.6178086941461505,Podarcis_gaigeae:0.8076554113525636):1.9452831614619932):0.8557688577863151):0.32851225907654336,(Podarcis_tiliguerta:1.4618765010896293,(((Podarcis_liolepis:1.0711124787036812,(Podarcis_vaucheri:5.512551320646716,Podarcis_bocagei:3.2253960129370443):0.42010903437831426):2.290250607443955)#H1:1.4839255668141085::0.2054832575312322,Podarcis_pityusensis:0.05711324449618128):0.3704090097943789):0.6068701753021374):0.28421863160951855,(Podarcis_siculus:1.8895517782112248,(Podarcis_muralis:2.2502448294183495,#H1:1.7560432527940606::0.7945167424687678):1.9124881075201368):0.13454137319681878):5.369331974195354,((Lacerta_agilis:0.5359398642197611)#H2:0.7180114679400423::0.4764771750142939,(#H2:1.0::0.5235228249857061,Zootoca_vivipara:0.26372535287721954):0.0039264889446485735):3.7336918763006235);"
